date,open,high,low,close,volume,a_value,b_value,a_volume,b_volume,all_volume
2006-04-10,7.0,7.25,6.85,7.12,9594720,1144532851.52,1828356352.548,160748996,448578819,1015463124
2006-04-11,7.12,7.83,7.05,7.83,15543120,1258664638.68,1927220926.2194,160748996,448578819,1015463124
2006-04-12,7.8,7.98,7.55,7.79,9504592,1252234678.84,1876242590.0551,160748996,448578819,1015463124
2006-04-13,7.79,7.95,7.35,7.49,10251239,1204009980.04,1791009070.6724,160748996,448578819,1015463124
2006-04-14,7.45,7.8,7.12,7.77,11044702,1249019698.92,1854245406.2184,160748996,448578819,1015463124
2006-04-17,7.77,7.77,7.77,7.77,--,1249019698.92,1877187297.0479,160748996,448578819,1015463124
2006-04-18,7.77,7.77,7.77,7.77,--,1249019698.92,1858197475.3296,160748996,448578819,1015463124
2006-04-19,7.77,7.77,7.77,7.77,--,1249019698.92,1839750882.561,160748996,448578819,1015463124
2006-04-20,7.77,7.77,7.77,7.77,--,1249019698.92,1858719127.6382,160748996,448578819,1015463124
2006-04-21,7.77,7.77,7.77,7.77,--,1249019698.92,1911462172.8764,160748996,448578819,1015463124
2006-04-24,7.77,7.77,7.77,7.77,--,1249019698.92,1869453843.0662,160748996,448578819,1015463124
2006-04-25,7.77,7.77,7.77,7.77,--,1249019698.92,1887571044.408,160748996,448578819,1015463124
2006-04-26,7.77,7.77,7.77,7.77,--,1249019698.92,1874781344.5522,160748996,448578819,1015463124
2006-04-27,7.77,7.77,7.77,7.77,--,1249019698.92,1851202740.947,160748996,448578819,1015463124
2006-04-28,7.77,7.77,7.77,7.77,--,1249019698.92,1850451012.5621,160748996,448578819,1015463124
2006-05-08,7.77,7.77,7.77,7.77,--,1249019698.92,1923276976.3849,160748996,448578819,1015463124
